CLASIFICACION,MEDIDOR
SECADORA DE MAIZ,35947182
SECADORA DE MAIZ,35947190
SECADORA DE MAIZ,35947221
SECADORA DE MAIZ,52073239
SECADORA DE MAIZ,52073316
SECADORA DE MAIZ,58706712
SECADORA DE MAIZ,58706727
SECADORA DE MAIZ,58706739
SECADORA DE MAIZ,58706740
SECADORA DE MAIZ,59814798
ENTIDAD PRIVADA,16567435
TALLER INDUSTRIAL,35946936
TALLER INDUSTRIAL,52073195
TALLER INDUSTRIAL,52073358
TALLER INDUSTRIAL,58706714
TERMINAL TERRESTRE,58706708
ENTIDAD PRIVADA,35925296
TRANSPORTE DE VALORES,14059544
UNIDAD EDUCATIVA,8882395
UNIDAD EDUCATIVA,8882397
UNIDAD EDUCATIVA,13892479
UNIDAD EDUCATIVA,13892523
UNIDAD EDUCATIVA,28006723
UNIDAD EDUCATIVA,52073169
UNIDAD EDUCATIVA,52073213
UNIDAD EDUCATIVA,53444720
UNIVERSIDAD,14059542
UNIVERSIDAD,52073329
VENTA DE AGROQUIMICOS,15842885
VENTA DE ELECTRODOMESTICOS,13892478
VENTA DE ELECTRODOMESTICOS,17548289
VENTA DE ELECTRODOMESTICOS,28007264
VENTANAS,53444731
ENTIDAD PRIVADA,15842894
